Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Class
57	Spectrogram 1	1	2092.781179380	2100.658332171	870.7	2040.8	M
58	Spectrogram 1	1	2109.044750532	2117.578332721	775.5	1891.2	M
59	Spectrogram 1	1	2116.528045683	2127.424773709	544.2	2272.1	F2
60	Spectrogram 1	1	2124.667770233	2131.625921864	816.3	2068.0	M
61	Spectrogram 1	1	2138.584073496	2144.229366329	911.6	2013.6	M
62	Spectrogram 1	1	2156.701524914	2162.084245987	857.1	1932.0	M
63	Spectrogram 1	1	2171.405543456	2178.626266847	898.0	1904.8	M
64	Spectrogram 1	1	2187.552484067	2197.530210934	802.7	1972.8	M
65	Spectrogram 1	1	2195.035779217	2207.507937802	625.9	2421.8	F
66	Spectrogram 1	1	2207.245366043	2213.547088275	898.0	1823.1	M
67	Spectrogram 1	1	2212.365515356	2224.837673941	367.3	2625.9	F
68	Spectrogram 1	1	2226.150532740	2233.896399650	761.9	1863.9	M
69	Spectrogram 1	1	2248.206560553	2255.558569824	802.7	2068.0	M
70	Spectrogram 1	1	2268.569304657	2277.102886847	829.9	1836.7	M
71	Spectrogram 1	1	2288.393472513	2295.220338265	761.9	1877.6	M
72	Spectrogram 1	1	2305.066779253	2312.287502644	898.0	1877.6	M
73	Spectrogram 1	1	2311.396589553	2325.181606936	394.6	2449.0	F
74	Spectrogram 1	1	2325.706750456	2332.664902087	761.9	1904.8	M
75	Spectrogram 1	1	2345.793490071	2354.064500501	829.9	1863.9	M
76	Spectrogram 1	1	2366.274087326	2373.757382477	816.3	2108.8	M
77	Spectrogram 1	1	2384.259640695	2390.036219408	775.5	1972.8	M
78	Spectrogram 1	1	2390.167505288	2406.184382628	435.4	2734.7	F
79	Spectrogram 1	1	2403.952522671	2413.142534260	775.5	2027.2	M
80	Spectrogram 1	1	2424.826977566	2434.542132674	843.5	2136.1	M
81	Spectrogram 1	1	2444.825174708	2452.045898099	898.0	1891.2	M
82	Spectrogram 1	1	2452.964899258	2466.224773122	544.2	2299.3	F
83	Spectrogram 1	1	2467.406346041	2475.414784711	843.5	2068.0	M
84	Spectrogram 1	1	2487.886943296	2497.470812524	748.3	2081.6	M
85	Spectrogram 1	1	2509.460570996	2517.600295546	775.5	1850.3	M
86	Spectrogram 1	1	2517.600295546	2532.960743488	408.2	2544.2	F
87	Spectrogram 1	1	2532.960743488	2540.837896278	884.4	1972.8	M
88	Spectrogram 1	1	2553.835198382	2560.924635894	829.9	2040.8	M
89	Spectrogram 1	1	2572.345284830	2579.828579981	802.7	2163.3	M
